"Date","Price","Open","High","Low","Change %"
"Sep 13, 2010","10.993","10.993","10.993","10.993","-0.05%"
"Sep 10, 2010","10.999","10.999","10.999","10.999","0.01%"
"Sep 09, 2010","10.998","10.998","10.998","10.998","-0.41%"
"Sep 08, 2010","11.043","11.043","11.043","11.043","-0.12%"
"Sep 07, 2010","11.056","11.056","11.056","11.056","-0.16%"
"Sep 06, 2010","11.074","11.074","11.074","11.074","0.67%"
"Sep 03, 2010","11.000","11.000","11.000","11.000","-0.61%"
"Sep 02, 2010","11.068","11.068","11.068","11.068","0.00%"
"Sep 01, 2010","11.068","11.068","11.068","11.068","-0.28%"
"Aug 31, 2010","11.099","11.099","11.099","11.099","-0.29%"
"Aug 30, 2010","11.131","11.131","11.131","11.131","0.18%"
"Aug 27, 2010","11.111","11.111","11.111","11.111","0.01%"
"Aug 26, 2010","11.110","11.110","11.110","11.110","0.12%"
"Aug 25, 2010","11.097","11.097","11.097","11.097","-0.19%"
"Aug 24, 2010","11.118","11.118","11.118","11.118","0.21%"
"Aug 23, 2010","11.095","11.095","11.095","11.095","0.11%"
"Aug 20, 2010","11.083","11.083","11.083","11.083","-0.28%"
"Aug 19, 2010","11.114","11.114","11.114","11.114","-0.35%"
"Aug 18, 2010","11.153","11.153","11.153","11.153","-0.21%"
"Aug 17, 2010","11.176","11.176","11.176","11.176","0.39%"
"Aug 16, 2010","11.133","11.133","11.133","11.133","-0.64%"
"Aug 13, 2010","11.205","11.205","11.205","11.205","0.68%"
"Aug 12, 2010","11.129","11.129","11.129","11.129","0.00%"
"Aug 11, 2010","11.129","11.129","11.129","11.129","-0.20%"
"Aug 10, 2010","11.151","11.151","11.151","11.151","-0.83%"
"Aug 09, 2010","11.244","11.244","11.244","11.244","0.19%"
"Aug 06, 2010","11.223","11.223","11.223","11.223","0.18%"
"Aug 04, 2010","11.203","11.203","11.203","11.203","0.51%"
"Aug 03, 2010","11.146","11.146","11.146","11.146","0.46%"
"Aug 02, 2010","11.095","11.095","11.095","11.095","0.33%"
"Jul 30, 2010","11.059","11.059","11.059","11.059","-0.14%"
"Jul 29, 2010","11.075","11.075","11.075","11.075","-0.54%"
"Jul 28, 2010","11.135","11.135","11.135","11.135","-0.07%"
"Jul 27, 2010","11.143","11.143","11.143","11.143","0.41%"
"Jul 26, 2010","11.097","11.097","11.097","11.097","0.30%"
"Jul 23, 2010","11.064","11.064","11.064","11.064","-0.65%"
"Jul 22, 2010","11.136","11.136","11.136","11.136","-0.40%"
"Jul 21, 2010","11.181","11.181","11.181","11.181","-0.24%"
"Jul 20, 2010","11.208","11.208","11.208","11.208","-0.78%"
"Jul 14, 2010","11.296","11.296","11.296","11.296","1.29%"
"Jul 12, 2010","11.152","11.152","11.152","11.152","0.23%"
"Jul 09, 2010","11.126","11.126","11.126","11.126","-0.65%"
"Jul 08, 2010","11.199","11.199","11.199","11.199","0.04%"
